strategy,aum_cr,net_retvol,net_cagr_pct,maxdd_pct,calmar,ann_cost_pct,avg_turnover,med_participation_pct,med_days_to_fill,cap_median_cr,beats_index
"C-BLEND(mo,50/50)",25,0.21,8.6,-51.8,0.17,21.8,0.81,6.6,1.5,38.0,False
"C-BLEND(mo,50/50)",50,-0.14,-0.0,-70.4,-0.0,30.2,0.81,13.3,2.5,38.0,False
"C-BLEND(mo,50/50)",100,-0.61,-10.8,-89.2,-0.12,41.4,0.81,26.6,5.0,38.0,False
"C-BLEND(mo,50/50)",200,-1.23,-23.8,-97.4,-0.24,56.8,0.81,53.1,9.0,38.0,False
"C-BLEND(mo,50/50)",500,-2.27,-44.2,-99.9,-0.44,86.3,0.81,132.8,22.0,38.0,False
"RISKADJ(mo,core)",25,0.09,5.1,-64.6,0.08,29.5,1.05,8.4,2.0,30.0,False
"RISKADJ(mo,core)",50,-0.34,-6.3,-86.1,-0.07,41.0,1.05,16.7,3.0,30.0,False
"RISKADJ(mo,core)",100,-0.92,-20.0,-96.5,-0.21,56.5,1.05,33.4,5.5,30.0,False
"RISKADJ(mo,core)",200,-1.67,-35.9,-99.7,-0.36,77.7,1.05,66.8,10.0,30.0,False
"RISKADJ(mo,core)",500,-2.92,-58.6,-100.0,-0.59,118.3,1.05,167.1,24.0,30.0,False
"LOWVOL_MOM(qtr,largecap)",25,0.72,19.2,-20.6,0.93,3.0,1.21,1.3,1.0,190.0,False
"LOWVOL_MOM(qtr,largecap)",50,0.67,18.1,-21.4,0.85,3.9,1.21,2.6,1.0,190.0,False
"LOWVOL_MOM(qtr,largecap)",100,0.6,16.5,-22.7,0.73,5.4,1.21,5.3,1.0,190.0,False
"LOWVOL_MOM(qtr,largecap)",200,0.48,14.2,-24.6,0.58,7.4,1.21,10.5,2.0,190.0,False
"LOWVOL_MOM(qtr,largecap)",500,0.26,9.7,-28.4,0.34,11.6,1.21,26.4,3.8,190.0,False
Nifty500_BH,-,0.54,15.3,-29.2,0.52,0.0,0.0,0.0,0.0,inf,

C-BLEND halves,aum_cr,h1_2012_18_retvol,h2_2019_26_retvol,full_retvol,h1_n,h2_n
,50,-0.86,0.35,-0.14,74,83
,100,-1.58,0.05,-0.61,74,83

C_coverage,H1_mean,0.418,H1_min,0.033,H2_mean,0.853,H2_min,0.756
