symbol,period,credibility_ga,n_resolved,anchor_date,fwd_6m_pct,excess_6m_pct,fwd_12m_pct,excess_12m_pct
INDUSINDBK,Oct 2021,100.0,5,2021-11-01,-25.5,-18.0,-6.9,-9.0
PIDILITIND,Feb 2022,100.0,6,2022-03-02,18.1,10.4,-2.0,-6.7
INFY,Jan 2022,95.0,20,2022-02-01,-11.6,-10.0,-11.4,-10.2
LAURUSLABS,Nov 2021,95.0,20,2021-12-01,9.0,13.8,-17.4,-25.1
APOLLOHOSP,Aug 2021,90.0,10,2021-09-01,-5.8,-1.3,-13.1,-18.4
FLUOROCHEM,Nov 2021,87.5,8,2021-12-01,94.9,92.1,84.3,84.4
SOLARINDS,Feb 2020,84.6,13,2020-03-02,-5.8,-9.7,21.8,-16.4
SUNPHARMA,Feb 2022,83.3,6,2022-03-02,7.8,0.1,17.6,12.8
AUROPHARMA,Jun 2021,80.0,15,2021-07-01,-24.4,-37.4,-43.8,-45.1
BIOCON,Oct 2021,71.9,32,2021-11-01,-0.1,7.5,-20.1,-22.1
ZYDUSLIFE,Nov 2021,60.0,5,2022-03-07,9.5,-4.3,38.8,30.6
ASTRAMICRO,Feb 2022,59.4,64,2022-03-02,80.6,72.9,38.1,33.3
CGPOWER,Feb 2019,54.5,11,2019-03-01,-63.7,-62.9,-77.1,-60.7
GLAND,Nov 2021,50.0,7,2021-12-01,-21.6,-16.8,-52.1,-59.8
LT,Jul 2021,50.0,8,2021-08-02,22.8,11.9,10.3,2.3
MTARTECH,Feb 2022,50.0,8,2022-03-02,-9.8,-17.5,-5.1,-9.9
SAREGAMA,Oct 2021,45.8,24,2022-03-14,-17.2,-25.6,-34.1,-34.4
POLYCAB,Jan 2022,44.7,19,2022-02-01,-7.2,-5.7,16.8,18.0
BHEL,Jul 2021,33.3,9,2021-08-02,0.8,-10.1,-12.0,-20.1
JSWSTEEL,Jan 2021,16.7,6,2021-02-01,100.4,81.6,71.0,44.6
THERMAX,Feb 2022,16.7,6,2022-03-02,31.8,24.1,20.5,15.7
