factor,retvol,sortino,cagr_pct,vol_ann_pct,maxdd_pct,calmar,win_rate_months_pct,profit_factor,payoff_win_over_loss,position_hit_rate_pct,position_payoff,avg_mfe_pct,capture_pct_aggregate,winner_capture_pct,avg_mae_pct,edge_ratio_mfe_over_mae,beta_nifty500,alpha_ann_pct,best_month_pct,worst_month_pct,avg_turnover,h1_retvol,h2_retvol,survives_both_halves
RISKADJ,1.05,1.71,35.5,26.6,-41.9,0.85,71.0,2.63,1.06,56.0,1.39,14.6,22.0,57.0,-9.8,1.5,1.17,16.4,20.9,-29.6,1.05,1.11,1.01,YES
MOM12,0.99,1.61,37.2,30.9,-49.6,0.75,66.0,2.41,1.23,54.0,1.45,15.9,21.0,57.0,-10.8,1.47,1.33,16.6,28.8,-34.5,0.75,1.01,0.98,YES
RESID_MOM,0.83,1.31,30.8,31.0,-50.7,0.61,66.0,2.13,1.12,52.0,1.43,16.2,18.0,56.0,-11.3,1.43,1.33,11.7,24.6,-32.9,1.0,0.87,0.8,YES
HI52,0.81,1.25,24.3,22.4,-38.6,0.63,68.0,2.33,1.12,55.0,1.37,12.0,21.0,57.0,-8.3,1.45,0.99,9.4,20.3,-31.3,1.66,1.0,0.66,YES
MOM6,0.8,1.23,29.5,31.1,-51.3,0.57,66.0,2.09,1.1,52.0,1.41,16.3,18.0,56.0,-11.4,1.43,1.32,10.9,24.0,-33.8,1.0,0.85,0.75,YES
QUAL_MOM,0.75,1.13,23.2,23.3,-27.5,0.84,66.0,2.12,1.08,54.0,1.33,12.8,17.0,57.0,-9.3,1.38,1.05,7.7,16.3,-26.5,0.81,0.75,0.76,YES
LOWVOL_MOM,0.72,1.04,18.3,16.7,-33.9,0.54,69.0,2.36,1.04,57.0,1.29,8.8,21.0,58.0,-6.1,1.44,0.82,5.9,15.7,-27.1,1.04,0.91,0.6,YES
VAL_MOM,0.69,1.04,24.4,29.3,-64.7,0.38,64.0,1.98,1.13,53.0,1.39,14.0,18.0,57.0,-10.1,1.4,1.37,5.6,24.6,-43.1,0.86,0.85,0.59,YES
QMV(qual+mom+val),0.64,0.95,21.2,25.9,-51.0,0.42,64.0,1.93,1.07,53.0,1.34,13.2,16.0,56.0,-9.6,1.37,1.19,4.8,20.8,-36.0,0.83,0.92,0.45,NO
EARN_YIELD,0.52,0.78,18.9,30.5,-68.4,0.28,61.0,1.73,1.13,53.0,1.27,12.8,16.0,56.0,-8.9,1.43,1.4,0.9,28.4,-44.4,0.44,0.45,0.59,NO
DEFENSIVE(lowvol+qual),0.44,0.6,12.2,14.2,-25.3,0.48,65.0,1.99,1.07,54.0,1.29,7.3,17.0,58.0,-5.4,1.34,0.71,1.8,9.1,-24.5,0.53,0.37,0.51,NO
BOOK_YIELD,0.41,0.62,15.4,34.7,-82.0,0.19,59.0,1.56,1.07,51.0,1.3,13.8,13.0,55.0,-9.8,1.41,1.56,-3.2,33.0,-42.5,0.44,0.24,0.53,NO
QUALITY,0.4,0.59,13.2,20.6,-41.0,0.32,58.0,1.72,1.25,52.0,1.28,9.9,13.0,56.0,-7.6,1.3,1.03,-1.1,18.8,-27.0,0.27,0.34,0.45,NO
LOWVOL,0.31,0.39,9.6,11.7,-26.5,0.36,66.0,1.94,0.99,55.0,1.12,6.2,17.0,56.0,-4.5,1.37,0.56,1.3,7.8,-20.5,0.67,0.3,0.32,NO
LOWBETA(BAB),0.22,0.32,8.9,15.6,-27.7,0.32,57.0,1.68,1.25,52.0,1.14,8.5,11.0,53.0,-6.2,1.36,0.59,0.8,19.8,-22.1,0.53,0.19,0.25,NO
