feature,importance
vol_66,0.12298047871272197
vol_22,0.08872733612771652
atr14_pct,0.08221487646186956
close_vs_sma20,0.07765200429079365
range_tight_66,0.06578723811407194
ret_10d,0.06230007937769674
n_strong_deliv_22,0.04552118499588942
deliv_per_22,0.03895629076642029
close_vs_sma50,0.03786260790626334
ret_5d,0.03619934796557248
ret_22d,0.028042730678781144
range_tight_22,0.026824138091548603
vol_z_1d,0.025141427360936264
close_vs_sma200,0.02496878802473938
turnover_surge_raw,0.019105297797991683
deliv_per_s,0.018576919226667668
ret_1d,0.016561949082220955
dist_high_22,0.016407002150386697
dist_low_252,0.016256271244552922
dist_high_66,0.015014571497908979
deliv_qty_trend,0.014159498464948777
vol_ratio_22_66,0.013915104168705549
ret_66d,0.013032071195043862
trades_trend,0.010942849977007448
deliv_val_trend,0.010634413418925175
ret_132d,0.009149413316938826
ret_252d,0.00792998392823115
sma50_slope,0.00723551658011315
range_pos_252,0.005260356318136616
sma50_vs_sma200,0.004968974938269758
vol_dryup_5_22,0.004451797826079309
vol_ratio,0.004076763172067857
dist_high_252,0.003540972986819442
hist_len,0.0033239231230657476
vol_pctile_252,0.003068751593340699
dist_high_all,0.0024079407919951282
deliv_trend,0.002376716500252948
deliv_updown_22,0.002223849812359048
atr_contraction,0.0020696751185224835
close_strength_5,0.00201718754081403
updown_vol_22,0.0018362804643200902
nr_ratio_10_60,0.0017735028414146532
avg_trade_val_trend,0.0016964154064151322
big_deliv_days_10,0.0006883530785765494
log_price,0.0005752634834761888
deliv_per_pctile,0.0005220604343795582
consec_up,0.0004237541092698784
gap_1d,0.00040198778457344503
up_frac_22,0.0001750460436433129
new_high_22,2.1035707544002335e-05
