stock,buy_date,sell_date,months_held,return_pct
TANLA,2020-08-06,2020-12-11,4,544.8
ADANIPOWER,2021-09-30,2022-09-21,11,317.4
ADANIGREEN,2019-10-17,2020-08-06,9,282.2
CGPOWER,2020-10-08,2021-05-26,7,261.4
ADANIENT,2020-12-11,2021-08-30,8,235.1
ALKYLAMINE,2020-03-27,2020-10-08,6,171.5
AARTIDRUGS,2020-06-05,2021-01-13,7,167.9
ADANITRANS,2021-02-15,2021-06-25,4,151.5
TTML,2021-11-02,2022-01-05,2,145.5
WEBELSOLAR,2024-01-23,2024-05-03,3,140.9
DIXON,2019-12-23,2020-10-08,9,134.9
JINDALSAW,2023-02-28,2023-08-10,5,131.0
CUPID,2025-07-30,2026-03-16,7,128.6
SAREGAMA,2021-02-15,2021-05-26,3,126.9
MTARTECH,2026-02-11,2026-05-22,3,126.0
IOLCP,2020-05-05,2020-11-09,6,120.1
FACT,2023-04-03,2023-07-11,3,119.3
BLS,2022-04-12,2022-11-25,7,113.7
WEBELSOLAR,2024-10-11,2025-01-16,3,110.1
ADANIGREEN,2020-09-07,2021-03-18,6,104.1
RAMCOSYS,2020-09-07,2021-03-18,6,103.8
TWL,2023-02-28,2023-07-11,4,103.1
RENUKA,2021-11-02,2022-04-12,5,101.0
ZENTEC,2023-06-08,2023-09-12,3,100.5
GRANULES,2020-06-05,2020-10-08,4,100.0
WOCKPHARMA,2024-06-05,2024-08-08,2,96.5
PRAJIND,2021-04-23,2021-06-25,2,89.2
EKC,2021-03-18,2021-04-23,1,85.4
BSE,2023-09-12,2024-03-28,6,82.2
NAVINFLUOR,2020-01-23,2020-09-07,7,81.4
MARKSANS,2020-07-07,2020-12-11,5,81.1
JBMA,2023-04-03,2023-08-10,4,81.0
APLAPOLLO,2020-11-09,2021-03-18,4,80.9
HBLPOWER,2023-10-16,2024-02-23,4,79.6
LAURUSLABS,2020-08-06,2021-02-15,6,79.2
ANANDRATHI,2023-11-17,2024-06-05,6,74.7
ABBOTINDIA,2019-09-13,2020-06-05,8,73.5
SBC,2025-10-03,2026-05-22,7,72.6
PREMEXPLN,2023-11-17,2024-05-03,5,71.2
GMMPFAUDLR,2020-02-25,2020-09-07,6,71.1
RVNL,2023-01-27,2023-06-08,4,70.9
BECTORFOOD,2023-04-03,2023-09-12,5,70.8
ADANITRANS,2022-03-10,2022-09-21,6,69.1
JSL,2022-12-27,2023-07-11,6,67.3
SIGACHI,2023-11-17,2024-02-23,3,65.2
IRFC,2023-12-20,2024-02-23,2,64.7
HDFCAMC,2019-07-09,2020-01-23,6,64.6
KERNEX,2025-04-28,2025-06-30,2,62.7
HAPPSTMNDS,2021-06-25,2021-09-30,3,62.1
SILVER1,2025-12-08,2026-02-11,2,61.4
FLUOROCHEM,2021-07-28,2022-01-05,5,61.3
KITEX,2025-03-21,2025-04-28,1,60.7
SILVERIETF,2025-12-08,2026-02-11,2,60.0
BCG,2021-11-02,2021-12-06,1,59.9
TRENT,2024-05-03,2024-09-10,4,56.8
RECLTD,2023-10-16,2024-02-23,4,56.8
PIIND,2019-02-26,2019-11-21,8,55.9
ELECON,2021-05-26,2021-11-02,5,54.8
SBGLP,2024-01-23,2024-06-05,4,54.1
INDIAMART,2020-12-11,2021-03-18,3,53.3
IZMO,2024-08-08,2024-09-10,1,53.3
XPROINDIA,2021-11-02,2022-01-05,2,52.9
RNAM,2019-07-09,2019-12-23,5,52.8
MIRZAINT,2022-03-10,2022-07-18,4,52.0
INTELLECT,2020-12-11,2021-02-15,2,52.0
HUDCO,2024-05-03,2024-07-08,2,50.8
TATASTLBSL,2021-04-23,2021-06-25,2,50.5
GRAVITA,2021-12-06,2022-01-05,1,50.3
MAGMA,2021-02-15,2021-06-25,4,49.3
ADANIGAS,2020-11-09,2020-12-11,1,49.3
TRIDENT,2021-11-02,2022-02-07,3,48.4
DIXON,2020-11-09,2021-01-13,2,48.2
BSOFT,2023-10-16,2024-02-23,4,48.0
SERVOTECH,2024-07-08,2024-09-10,2,47.7
IFBAGRO,2025-12-08,2026-01-08,1,45.9
COROMANDEL,2019-12-23,2020-07-07,6,45.6
JSLHISAR,2022-12-27,2023-04-03,3,44.8
WSTCSTPAPR,2022-07-18,2022-09-21,2,43.9
JBCHEPHARM,2020-03-27,2020-08-06,4,43.8
BIOCON,2020-03-27,2020-07-07,3,43.2
ATGL,2022-04-12,2022-09-21,5,41.6
HSCL,2023-12-20,2024-01-23,1,41.4
FORCEMOT,2024-02-23,2024-07-08,4,41.3
MARINE,2025-04-28,2025-06-30,2,40.8
KPITTECH,2021-06-25,2021-09-30,3,40.8
PERSISTENT,2021-08-30,2022-01-05,4,39.9
BATAINDIA,2019-01-25,2019-09-13,7,38.5
BALRAMCHIN,2019-01-25,2019-05-07,3,38.4
PRINCEPIPE,2021-01-13,2021-03-18,2,38.0
APARINDS,2023-08-10,2023-10-16,2,37.5
INDRAMEDCO,2024-08-08,2024-10-11,2,37.4
MASTEK,2020-10-08,2021-02-15,4,37.2
SYNCOMF,2024-08-08,2024-10-11,2,37.1
VEDL,2026-03-16,2026-05-22,2,36.3
BSE,2021-11-02,2021-12-06,1,36.3
GNFC,2022-03-10,2022-04-12,1,35.2
USHAMART,2023-04-03,2023-07-11,3,35.1
RPOWER,2025-05-29,2025-06-30,1,34.8
LINDEINDIA,2021-07-28,2021-08-30,1,34.8
HARIOMPIPE,2023-04-03,2023-07-11,3,34.5
ASTEC,2020-06-05,2020-08-06,2,34.4
JSWHL,2024-11-12,2024-12-16,1,34.1
SUZLON,2024-07-08,2024-10-11,3,34.0
REFEX,2024-09-10,2024-10-11,1,33.7
FLUOROCHEM,2022-05-17,2022-11-25,6,33.6
DHAMPURSUG,2019-01-25,2019-05-07,3,33.1
NATIONALUM,2026-01-08,2026-05-22,4,32.7
ELECTCAST,2024-01-23,2024-05-03,3,32.5
JWL,2023-08-10,2023-12-20,4,31.6
CGCL,2019-01-25,2019-05-07,3,31.4
BERGEPAINT,2019-09-13,2020-03-27,6,31.0
TRENT,2023-12-20,2024-02-23,2,31.0
JBMA,2023-12-20,2024-03-28,3,29.6
MINDTREE,2021-08-30,2022-01-05,4,29.4
BHARTIARTL,2020-03-27,2020-06-05,2,29.4
GREENPANEL,2021-04-23,2021-06-25,2,29.2
SWSOLAR,2024-01-23,2024-05-03,3,29.2
SBILIFE,2019-07-09,2020-01-23,6,29.1
ALKYLAMINE,2021-04-23,2021-05-26,1,28.9
ICICIPRULI,2019-08-08,2020-01-23,5,28.6
OFSS,2024-05-03,2024-08-08,3,28.5
NESTLEIND,2019-09-13,2020-02-25,5,28.3
INTELLECT,2021-03-18,2021-05-26,2,28.3
BCG,2022-03-10,2022-04-12,1,28.2
HINDCOPPER,2021-03-18,2021-06-25,3,27.8
MCX,2026-03-16,2026-05-22,2,27.2
KAYNES,2024-10-11,2024-12-16,2,26.6
PRAJIND,2019-01-25,2019-04-01,2,26.6
TDPOWERSYS,2026-04-21,2026-05-22,1,26.5
EMIL,2023-10-16,2024-02-23,4,26.5
ASHAPURMIN,2024-06-05,2024-07-08,1,26.2
WOCKPHARMA,2024-10-11,2025-04-28,6,26.2
DYNAMATECH,2021-08-30,2021-09-30,1,26.1
PGEL,2024-09-10,2025-02-17,5,26.0
COSMOFILMS,2021-07-28,2021-09-30,2,25.9
HUBTOWN,2024-02-23,2024-03-28,1,25.4
SILVERBEES,2026-01-08,2026-02-11,1,24.8
SILVER,2026-01-08,2026-02-11,1,24.7
BAYERCROP,2020-05-05,2020-08-06,3,24.6
HDFCSILVER,2026-01-08,2026-04-21,3,24.0
HUBTOWN,2024-06-05,2024-07-08,1,23.8
SILVERCASE,2026-01-08,2026-04-21,3,23.8
JINDWORLD,2022-01-05,2022-04-12,3,23.8
IPCALAB,2020-07-07,2020-09-07,2,23.6
KALYANKJIL,2023-10-16,2024-01-23,3,23.3
AXISILVER,2026-01-08,2026-02-11,1,23.2
GOLDIAM,2021-07-28,2021-08-30,1,23.2
MANINDS,2024-06-05,2024-08-08,2,23.1
GRASIM,2021-01-13,2021-04-23,3,22.9
AUROPHARMA,2023-07-11,2023-10-16,3,22.8
JSWENERGY,2022-05-17,2022-09-21,4,22.7
SILVERADD,2026-01-08,2026-02-11,1,22.2
GABRIEL,2025-07-30,2025-10-03,2,22.1
INOXGREEN,2024-07-08,2024-09-10,2,22.1
UPL,2019-01-25,2019-07-09,5,22.1
MANGCHEFER,2025-04-28,2025-06-30,2,22.0
TATACOMM,2020-08-06,2020-12-11,4,22.0
INDIGO,2019-04-01,2019-10-17,6,21.8
TATSILV,2026-01-08,2026-02-11,1,21.8
FORCEMOT,2023-09-12,2023-11-17,2,21.7
SUZLON,2024-01-23,2024-02-23,1,21.6
VLEGOV,2024-09-10,2024-10-11,1,21.3
KIRLFER,2023-01-27,2023-05-09,3,21.1
KITEX,2024-11-12,2024-12-16,1,20.9
MARKSANS,2023-04-03,2023-06-08,2,20.8
GRSE,2019-10-17,2019-12-23,2,20.7
FSL,2021-06-25,2021-07-28,1,20.7
IRFC,2024-06-05,2024-07-08,1,20.6
SBISILVER,2026-01-08,2026-02-11,1,20.5
TANLA,2021-01-13,2021-06-25,5,20.3
TEXRAIL,2023-12-20,2024-01-23,1,20.3
GOODLUCK,2021-07-28,2021-09-30,2,20.2
BALAMINES,2021-05-26,2021-11-02,5,20.0
GRAPHITE,2021-03-18,2021-06-25,3,20.0
MCX,2019-12-23,2020-02-25,2,19.9
IPCALAB,2020-03-27,2020-06-05,2,19.8
SAFARI,2023-06-08,2023-08-10,2,19.8
IONEXCHANG,2023-02-28,2023-06-08,3,19.8
UJJIVAN,2022-09-21,2023-01-27,4,19.7
VBL,2022-07-18,2022-10-24,3,19.6
SBC,2023-05-09,2023-06-08,1,19.1
TATAMTRDVR,2023-07-11,2023-08-10,1,19.0
ELECTCAST,2023-10-16,2023-11-17,1,19.0
CUPID,2023-11-17,2023-12-20,1,18.8
TEJASNET,2020-12-11,2021-02-15,2,18.8
GVKPIL,2024-03-28,2024-05-03,1,18.8
SAKSOFT,2023-06-08,2023-09-12,3,18.8
TRIL,2024-01-23,2024-02-23,1,18.7
KIRLOSBROS,2023-07-11,2023-09-12,2,18.6
POWERINDIA,2026-04-21,2026-05-22,1,18.2
TVSHLTD,2024-06-05,2024-07-08,1,18.1
BEPL,2020-12-11,2021-04-23,4,17.9
KAYNES,2023-06-08,2023-08-10,2,17.9
RAMRAT,2024-09-10,2024-10-11,1,17.9
TVSMOTOR,2022-07-18,2022-11-25,4,17.4
JSLHISAR,2020-12-11,2021-01-13,1,17.2
MAHLIFE,2022-06-16,2022-08-19,2,16.9
RPPINFRA,2024-08-08,2024-09-10,1,16.7
JYOTHYLAB,2023-11-17,2024-01-23,2,16.6
TATAELXSI,2021-05-26,2021-07-28,2,16.6
TATAINVEST,2024-08-08,2024-09-10,1,16.5
MARINE,2024-10-11,2025-01-16,3,16.5
LTF,2025-10-03,2026-01-08,3,16.4
IFCI,2024-01-23,2024-02-23,1,16.4
KRISHANA,2025-05-29,2025-10-03,4,16.3
DAAWAT,2020-07-07,2020-08-06,1,16.3
TATASTEEL,2021-04-23,2021-05-26,1,16.2
CYIENT,2023-05-09,2023-06-08,1,16.0
KAJARIACER,2021-01-13,2021-04-23,3,15.8
SMSPHARMA,2024-08-08,2024-09-10,1,15.8
PANACEABIO,2025-03-21,2025-05-29,2,15.7
DCAL,2020-07-07,2020-10-08,3,15.6
TATAGLOBAL,2019-08-08,2019-12-23,4,15.5
NCC,2023-04-03,2023-06-08,2,15.4
BHARATWIRE,2023-08-10,2023-09-12,1,15.3
SPMLINFRA,2025-06-30,2025-07-30,1,15.2
CHOLAFIN,2020-12-11,2021-01-13,1,15.2
RKFORGE,2023-06-08,2023-07-11,1,15.2
RAMKY,2023-09-12,2023-10-16,1,14.9
IIFL,2021-09-30,2021-12-06,2,14.8
DIXON,2023-11-17,2023-12-20,1,14.8
ANANTRAJ,2023-08-10,2023-09-12,1,14.8
DBREALTY,2024-01-23,2024-02-23,1,14.7
APARINDS,2022-10-24,2022-12-27,2,14.6
RKFORGE,2023-08-10,2023-10-16,2,14.6
VENUSPIPES,2023-06-08,2023-10-16,4,14.6
ITC,2022-07-18,2022-11-25,4,14.5
RPOWER,2021-11-02,2021-12-06,1,14.5
VEDL,2021-04-23,2021-06-25,2,14.3
JKIL,2022-06-16,2022-08-19,2,14.3
PREMEXPLN,2023-08-10,2023-09-12,1,14.3
MUTHOOTFIN,2019-01-25,2019-07-09,5,14.3
TNPETRO,2021-06-25,2021-09-30,3,14.1
SPECIALITY,2022-03-10,2022-04-12,1,14.1
ALLCARGO,2021-12-06,2022-01-05,1,13.9
SCHAEFFLER,2022-06-16,2022-07-18,1,13.7
WEL,2024-09-10,2024-11-12,2,13.4
HDFCLIFE,2019-08-08,2020-01-23,5,13.4
MCX,2019-10-17,2019-11-21,1,13.3
KOTAKBANK,2019-05-07,2019-10-17,5,13.3
LAXMIMACH,2021-02-15,2021-03-18,1,13.2
HSCL,2024-08-08,2024-11-12,3,13.2
MIDHANI,2020-03-27,2020-05-05,1,13.2
KAYNES,2023-09-12,2023-11-17,2,13.0
SRF,2019-01-25,2019-04-01,2,13.0
KIRLOSENG,2026-03-16,2026-05-22,2,13.0
RTNPOWER,2021-06-25,2021-07-28,1,13.0
POLYCAB,2021-04-23,2021-05-26,1,12.8
KKCL,2022-08-19,2022-11-25,3,12.8
NELCO,2021-09-30,2021-11-02,1,12.8
AJANTPHARM,2020-03-27,2020-07-07,3,12.7
SARVESHWAR,2024-06-05,2024-07-08,1,12.7
CUMMINSIND,2024-03-28,2024-06-05,2,12.6
ZEEMEDIA,2022-01-05,2022-02-07,1,12.5
SUZLON,2023-09-12,2023-10-16,1,12.4
MASTEK,2021-06-25,2021-07-28,1,12.3
