Stock,Buy date,Buy price,Entry rank,Risk-adj score,6m return % at entry,Volatility %/yr at entry,5y return %,WHY PICKED,Initial SL,SL path,Peak price,Final SL,Sell date,Sell price,Exit trigger,WHY EXITED,Return %
MERCK,2019-01-25,3213.7,8,20.21,42.0,33.0,474.0,"Rank #8 of 285 by 6m-return/volatility | 6m +42%, vol ~33%/yr, 5y +474%",2635.2,-18%,3369.0,2635.2,2019-02-26,2906.6,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 2907,-10.2
ICICIBANK,2019-01-25,331.1,9,19.99,34.0,27.0,56.0,"Rank #9 of 285 by 6m-return/volatility | 6m +34%, vol ~27%/yr, 5y +56% (not over-extended)",271.5,-18%,349.1,271.5,2019-02-26,322.7,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 323,-3.1
APOLLOHOSP,2019-01-25,1292.3,13,18.63,39.0,33.0,36.0,"Rank #13 of 285 by 6m-return/volatility | 6m +39%, vol ~33%/yr, 5y +36% (not over-extended)",1059.7,-18%,1357.9,1059.7,2019-02-26,1157.3,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 1157,-11.0
TORNTPHARM,2019-01-25,926.0,19,17.57,31.0,28.0,292.0,"Rank #19 of 285 by 6m-return/volatility | 6m +31%, vol ~28%/yr, 5y +292%",759.4,-18%,942.1,759.4,2019-02-26,901.4,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 901,-3.3
HAVELLS,2019-01-25,778.9,23,17.12,26.0,24.0,310.0,"Rank #23 of 285 by 6m-return/volatility | 6m +26%, vol ~24%/yr, 5y +310%",638.7,-18%,829.6,638.7,2019-02-26,763.7,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 764,-2.6
HDIL,2019-01-25,26.3,18,17.67,54.0,49.0,-48.0,"Rank #18 of 285 by 6m-return/volatility | 6m +54%, vol ~49%/yr, 5y -48% (not over-extended)",21.6,-18%,27.5,21.6,2019-02-05,21.6,STOP_LOSS,"Stop-loss hit at 22; had peaked +4%, SL trailed to 22",-18.6
UBL,2019-01-25,1487.5,10,19.48,33.0,27.0,86.0,"Rank #10 of 285 by 6m-return/volatility | 6m +33%, vol ~27%/yr, 5y +86% (not over-extended)",1219.8,-18%,1531.4,1219.8,2019-02-26,1389.4,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 1389,-7.2
AUROPHARMA,2019-01-25,824.9,14,18.13,35.0,30.0,276.0,"Rank #14 of 285 by 6m-return/volatility | 6m +35%, vol ~30%/yr, 5y +276%",676.4,-18%,844.6,676.4,2019-02-26,754.7,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 755,-9.1
JKPAPER,2019-01-25,135.6,17,17.88,39.0,34.0,376.0,"Rank #17 of 285 by 6m-return/volatility | 6m +39%, vol ~34%/yr, 5y +376%",111.2,-18%,135.6,111.2,2019-02-26,121.4,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 121,-11.0
AARTIIND,2019-01-25,373.8,20,17.36,27.0,25.0,1451.0,"Rank #20 of 285 by 6m-return/volatility | 6m +27%, vol ~25%/yr, 5y +1451%",306.5,-18% ->BE@+15%,436.7,373.8,2019-02-11,373.8,STOP_LOSS,"Stop-loss hit at 374; had peaked +17%, SL trailed to 374",-0.6
IBVENTURES,2019-01-25,265.6,16,18.01,54.0,48.0,n/a,"Rank #16 of 285 by 6m-return/volatility | 6m +54%, vol ~48%/yr",217.8,-18%,265.6,217.8,2019-01-29,217.8,STOP_LOSS,"Stop-loss hit at 218; had peaked +0%, SL trailed to 218",-18.6
STAR,2019-01-25,230.7,15,18.09,50.0,44.0,42.0,"Rank #15 of 285 by 6m-return/volatility | 6m +50%, vol ~44%/yr, 5y +42% (not over-extended)",189.2,-18%,241.6,189.2,2019-02-05,189.2,STOP_LOSS,"Stop-loss hit at 189; had peaked +5%, SL trailed to 189",-18.6
