month,stock,new_entry,month_return_pct
2019-01-25,DHAMPURSUG,1,42.2
2019-01-25,IOLCP,1,-12.0
2019-01-25,CGCL,1,0.8
2019-01-25,ADANIPOWER,1,-5.1
2019-01-25,ABFRL,1,9.6
2019-01-25,BALRAMCHIN,1,26.3
2019-01-25,PVR,1,-3.4
2019-01-25,MERCK,1,-9.6
2019-01-25,ICICIBANK,1,-2.5
2019-01-25,UBL,1,-6.6
2019-01-25,BATAINDIA,1,16.6
2019-01-25,UPL,1,13.5
2019-01-25,APOLLOHOSP,1,-10.4
2019-01-25,AUROPHARMA,1,-8.5
2019-01-25,STAR,1,-19.7
2019-01-25,IBVENTURES,1,-17.8
2019-01-25,JKPAPER,1,-10.4
2019-01-25,HDIL,1,-17.2
2019-01-25,TORNTPHARM,1,-2.7
2019-01-25,AARTIIND,1,-10.3
2019-01-25,DRREDDY,1,-0.9
2019-01-25,SRF,1,6.8
2019-01-25,HAVELLS,1,-2.0
2019-01-25,PRAJIND,1,17.4
2019-01-25,MUTHOOTFIN,1,-1.6
2019-02-26,DHAMPURSUG,0,0.6
2019-02-26,BALRAMCHIN,0,7.1
2019-02-26,CGCL,0,32.8
2019-02-26,WIPRO,1,-32.5
2019-02-26,PRAJIND,0,8.5
2019-02-26,UPL,0,9.3
2019-02-26,DIVISLAB,1,6.3
2019-02-26,PFC,1,7.1
2019-02-26,BATAINDIA,0,5.9
2019-02-26,PIIND,1,13.7
2019-02-26,MUTHOOTFIN,0,16.8
2019-02-26,IOLCP,0,7.3
2019-02-26,TITAN,1,7.9
2019-02-26,ADANIPOWER,0,4.4
2019-02-26,ICICIGI,1,12.6
2019-02-26,TECHM,1,-5.7
2019-02-26,PVR,0,9.4
2019-02-26,AXISBANK,1,7.8
2019-02-26,RECLTD,1,8.3
2019-02-26,ABFRL,0,2.2
2019-02-26,KAJARIACER,1,11.5
2019-02-26,SRF,0,6.4
2019-02-26,INDHOTEL,1,10.7
2019-02-26,MANAPPURAM,1,10.5
2019-02-26,DRREDDY,0,5.6
2019-04-01,BALRAMCHIN,0,2.9
2019-04-01,KAJARIACER,0,-6.5
2019-04-01,CGCL,0,-1.2
2019-04-01,TITAN,0,-3.0
2019-04-01,PIIND,0,-0.4
2019-04-01,BATAINDIA,0,-2.4
2019-04-01,INDIGO,1,11.3
2019-04-01,ORIENTBANK,1,-18.2
2019-04-01,DHAMPURSUG,0,-6.4
2019-04-01,UPL,0,1.8
2019-04-01,MANAPPURAM,0,-6.9
2019-04-01,BANKBEES,1,-3.6
2019-04-01,BEML,1,-17.2
2019-04-01,VAKRANGEE,1,18.1
2019-04-01,IPCALAB,1,-1.8
2019-04-01,GODFRYPHLP,1,-11.6
2019-04-01,INOXLEISUR,1,-6.6
2019-04-01,DCBBANK,1,5.9
2019-04-01,MUTHOOTFIN,0,-7.8
2019-04-01,PFC,0,-7.8
2019-04-01,FEDERALBNK,1,0.6
2019-04-01,ADANIPOWER,0,-14.8
2019-04-01,HDFCBANK,1,0.5
2019-04-01,PNB,1,-13.9
2019-04-01,BAJFINANCE,1,0.5
2019-05-07,UPL,0,7.2
2019-05-07,VAKRANGEE,0,-25.1
2019-05-07,INDIGO,0,5.4
2019-05-07,SHREECEM,1,4.9
2019-05-07,BAJAJFINSV,1,8.5
2019-05-07,BANDHANBNK,1,-5.3
2019-05-07,FLFL,1,-7.4
2019-05-07,KAJARIACER,0,8.7
2019-05-07,BATAINDIA,0,1.9
2019-05-07,IPCALAB,0,-1.8
2019-05-07,PCJEWELLER,1,-49.4
2019-05-07,63MOONS,1,-30.1
2019-05-07,PIIND,0,6.7
2019-05-07,MANAPPURAM,0,13.5
2019-05-07,SUNTECK,1,3.9
2019-05-07,AXISBANK,1,8.4
2019-05-07,TITAN,0,16.8
2019-05-07,HDFCBANK,0,5.4
2019-05-07,DCBBANK,0,12.2
2019-05-07,MUTHOOTFIN,0,8.7
2019-05-07,KOTAKBANK,1,7.4
2019-05-07,UJJIVAN,1,15.1
2019-05-07,BEML,0,15.2
2019-05-07,MINDTREE,1,-1.1
2019-05-07,PVR,1,-1.5
2019-06-07,AAVAS,1,5.9
2019-06-07,DCBBANK,0,-4.9
2019-06-07,UPL,0,-9.3
2019-06-07,BAJAJFINSV,0,-4.2
2019-06-07,INDIGO,0,-5.7
2019-06-07,TITAN,0,-13.4
2019-06-07,MANAPPURAM,0,-1.7
2019-06-07,INOXLEISUR,1,-8.6
2019-06-07,UJJIVAN,0,-20.6
2019-06-07,KAJARIACER,0,-7.3
2019-06-07,BAJFINANCE,1,2.7
2019-06-07,ICICIGI,1,-9.8
2019-06-07,JKCEMENT,1,-4.7
2019-06-07,CUB,1,-7.5
2019-06-07,PIIND,0,5.5
2019-06-07,NIITTECH,1,-0.6
2019-06-07,AXISBANK,0,-2.2
2019-06-07,SUNTECK,0,-6.2
2019-06-07,KOTAKBANK,0,-3.2
2019-06-07,ADANIGAS,1,-3.2
2019-06-07,SRF,1,-2.8
2019-06-07,BATAINDIA,0,0.8
2019-06-07,MUTHOOTFIN,0,-0.2
2019-06-07,BALRAMCHIN,1,-2.1
2019-06-07,KALPATPOWR,1,-2.2
2019-07-09,AAVAS,0,1.6
2019-07-09,JUSTDIAL,1,-14.9
2019-07-09,SRF,0,3.8
2019-07-09,AXISBANK,0,-16.0
2019-07-09,DCBBANK,0,-15.2
2019-07-09,RNAM,1,2.3
2019-07-09,DCMSHRIRAM,1,-30.5
2019-07-09,BAJFINANCE,0,-7.4
2019-07-09,NAUKRI,1,-2.2
2019-07-09,JKCEMENT,0,-0.3
2019-07-09,BATAINDIA,0,2.7
2019-07-09,ADANIGAS,0,-2.2
2019-07-09,PIIND,0,-4.4
2019-07-09,DEEPAKNTR,1,-5.5
2019-07-09,NIITTECH,0,-2.9
2019-07-09,SHREECEM,1,-5.2
2019-07-09,SBILIFE,1,7.1
2019-07-09,HDFCAMC,1,11.2
2019-07-09,KOTAKBANK,0,2.7
2019-07-09,MANAPPURAM,0,-6.9
2019-07-09,RAMCOCEM,1,-5.7
2019-07-09,IPCALAB,1,-1.0
2019-07-09,INDIGO,0,-3.1
2019-07-09,SUNTECK,0,-8.4
2019-07-09,BALRAMCHIN,0,-18.8
2019-08-08,RNAM,0,13.7
2019-08-08,HDFCAMC,0,23.2
2019-08-08,CANFINHOME,1,2.6
2019-08-08,HDFCLIFE,1,3.3
2019-08-08,SBILIFE,0,-1.8
2019-08-08,IPCALAB,0,0.2
2019-08-08,ADANIGAS,0,-10.9
2019-08-08,ICICIPRULI,1,6.4
2019-08-08,SRF,0,-4.4
2019-08-08,SHREECEM,0,-6.5
