month,positions,new_buys,sells,portfolio_return_pct
2019-01-25,25,25,0,-0.6
2019-02-26,25,12,12,6.68
2019-04-01,25,13,13,-3.85
2019-05-07,25,12,12,0.83
2019-06-07,25,11,11,-4.49
2019-07-09,25,10,10,-5.02
2019-08-08,25,12,12,2.27
2019-09-13,25,12,12,3.72
2019-10-17,25,12,12,6.03
2019-11-21,25,10,10,2.82
2019-12-23,25,8,8,6.38
2020-01-23,25,10,10,4.24
2020-02-25,25,12,12,-30.24
2020-03-27,25,14,14,18.51
2020-05-05,25,9,9,6.84
2020-06-05,25,10,10,7.61
2020-07-07,25,11,11,12.56
2020-08-06,25,13,13,4.89
2020-09-07,25,12,12,6.44
2020-10-08,25,15,15,-0.99
2020-11-09,25,11,11,17.32
2020-12-11,25,15,15,5.0
2021-01-13,25,13,13,8.72
2021-02-15,25,11,11,5.96
2021-03-18,25,14,14,7.3
2021-04-23,25,10,10,16.83
2021-05-26,25,14,14,2.62
2021-06-25,25,20,20,5.17
2021-07-28,25,17,17,3.07
2021-08-30,25,14,14,4.56
2021-09-30,25,16,16,1.33
2021-11-02,25,17,17,8.05
2021-12-06,25,15,15,9.17
2022-01-05,25,16,16,3.14
2022-02-07,25,11,11,-10.72
2022-03-10,25,13,13,13.06
2022-04-12,25,15,15,-14.77
2022-05-17,25,11,11,-9.95
2022-06-16,25,10,10,8.07
2022-07-18,25,11,11,6.1
2022-08-19,25,12,12,4.96
2022-09-21,25,14,14,-0.79
2022-10-24,25,13,13,2.49
2022-11-25,25,15,15,-4.19
2022-12-27,25,16,16,-5.93
2023-01-27,25,12,12,-5.52
2023-02-28,25,17,17,1.9
2023-04-03,25,15,15,9.43
2023-05-09,25,10,10,7.99
2023-06-08,25,17,17,10.14
2023-07-11,25,14,14,7.07
2023-08-10,25,17,17,5.13
2023-09-12,25,17,17,3.1
2023-10-16,25,13,13,3.94
2023-11-17,25,15,15,-0.11
2023-12-20,25,14,14,13.35
2024-01-23,25,13,13,10.83
2024-02-23,25,14,14,-4.89
2024-03-28,25,12,12,12.09
2024-05-03,25,16,16,-3.81
2024-06-05,25,18,18,16.24
2024-07-08,25,17,17,-2.22
2024-08-08,25,15,15,11.13
2024-09-10,25,15,15,-0.37
2024-10-11,25,15,15,-5.91
2024-11-12,25,16,16,14.6
2024-12-16,25,10,10,-7.08
2025-01-16,25,14,14,-17.87
2025-02-17,25,14,14,3.45
2025-03-21,25,9,9,0.8
2025-04-28,25,14,14,4.06
2025-05-29,25,12,12,4.51
2025-06-30,25,12,12,-3.87
2025-07-30,25,13,13,2.21
2025-09-02,25,10,10,-0.24
2025-10-03,25,12,12,-2.59
2025-11-06,25,11,11,-3.84
2025-12-08,25,14,14,4.54
2026-01-08,25,13,13,9.25
2026-02-11,25,13,13,-8.06
2026-03-16,25,10,10,7.3
2026-04-21,25,11,11,4.86
