rebalance_date,sector,weight
2005-10-03,Nifty FMCG,0.3
2006-01-02,Nifty FMCG,0.3
2006-04-03,Nifty FMCG,0.3
2006-07-03,Nifty FMCG,0.3
2006-10-03,Nifty Bank,0.3
2007-01-02,Nifty Bank,0.3
2007-04-02,Nifty Bank,0.3
2007-07-02,Nifty Bank,0.3
2007-10-01,Nifty Energy,0.3
2007-10-01,Nifty Bank,0.3
2008-01-01,Nifty Bank,0.3
2008-01-01,Nifty Energy,0.3
2008-04-01,Nifty FMCG,0.3
2008-04-01,Nifty Energy,0.3
2008-07-01,Nifty Energy,0.3
2008-07-01,Nifty FMCG,0.3
2008-10-01,Nifty Energy,0.3
2008-10-01,Nifty FMCG,0.3
2009-01-01,Nifty Energy,0.3
2009-01-01,Nifty Bank,0.3
2009-01-01,Nifty FMCG,0.3
2009-04-01,Nifty Bank,0.3
2009-04-01,Nifty Energy,0.3
2009-04-01,Nifty FMCG,0.3
2009-07-01,Nifty Bank,0.3
2009-10-01,Nifty Bank,0.3
2009-10-01,Nifty IT,0.3
2010-01-04,Nifty Bank,0.3
2010-01-04,Nifty IT,0.3
2010-04-01,Nifty Bank,0.3
2010-04-01,Nifty IT,0.3
2010-07-01,Nifty Pharma,0.3
2010-07-01,Nifty FMCG,0.3
2010-07-01,Nifty Bank,0.2667
2010-07-01,Nifty IT,0.1333
2010-10-01,Nifty Bank,0.3
2010-10-01,Nifty FMCG,0.3
2010-10-01,Nifty IT,0.2667
2010-10-01,Nifty Pharma,0.1333
2011-01-03,Nifty Bank,0.3
2011-01-03,Nifty IT,0.3
2011-01-03,Nifty Pharma,0.2667
2011-01-03,Nifty FMCG,0.1333
2011-04-01,Nifty Pharma,0.3
2011-04-01,Nifty IT,0.3
2011-04-01,Nifty FMCG,0.2667
2011-04-01,Nifty Bank,0.1333
2011-07-01,Nifty Bank,0.3
2011-07-01,Nifty FMCG,0.3
2011-07-01,Nifty Pharma,0.2667
2011-07-01,Nifty IT,0.1333
2011-10-03,Nifty Pharma,0.3
2011-10-03,Nifty FMCG,0.3
2011-10-03,Nifty IT,0.2667
2011-10-03,Nifty Bank,0.1333
2012-01-02,Nifty Pharma,0.3
2012-01-02,Nifty IT,0.3
2012-01-02,Nifty FMCG,0.3
2012-04-02,Nifty Pharma,0.3
2012-04-02,Nifty FMCG,0.3
2012-04-02,Nifty IT,0.3
2012-07-02,Nifty Pharma,0.3
2012-07-02,Nifty FMCG,0.3
2012-07-02,Nifty Bank,0.3
2012-10-01,Nifty FMCG,0.3
2012-10-01,Nifty Media,0.3
2012-10-01,Nifty Bank,0.2667
2012-10-01,Nifty Pharma,0.1333
2013-01-01,Nifty Media,0.3
2013-01-01,Nifty Realty,0.28
2013-01-01,Nifty Bank,0.21
2013-01-01,Nifty FMCG,0.14
2013-01-01,Nifty Pharma,0.07
2013-04-01,Nifty Media,0.3
2013-04-01,Nifty FMCG,0.28
2013-04-01,Nifty Pharma,0.21
2013-04-01,Nifty Realty,0.14
2013-04-01,Nifty Bank,0.07
2013-07-01,Nifty FMCG,0.3
2013-07-01,Nifty Pharma,0.3
2013-07-01,Nifty Media,0.2667
2013-07-01,Nifty Bank,0.1333
2013-10-01,Nifty FMCG,0.3
2013-10-01,Nifty Pharma,0.3
2013-10-01,Nifty Auto,0.2667
2013-10-01,Nifty Media,0.1333
2014-01-01,Nifty Auto,0.3
2014-01-01,Nifty IT,0.3
2014-01-01,Nifty Pharma,0.2667
2014-01-01,Nifty Media,0.1333
2014-04-01,Nifty IT,0.3
2014-04-01,Nifty Media,0.3
2014-04-01,Nifty Auto,0.3
2014-07-01,Nifty Media,0.3
2014-07-01,Nifty Auto,0.3
2014-10-01,Nifty Auto,0.3
2015-01-01,Nifty Auto,0.3
2015-04-01,Nifty Auto,0.3
