cut,predicate,hit_ratio,lift,coverage,n_events_match,support_real,base_rate,avg_ret_66,big50_6m_rate,win_rate_66
ALL,momentum_continuation,0.7491039426523297,6.750681683131777,0.2742414910424979,10241,13671.0,0.11096715529102023,0.258299353702227,0.4538318529229498,0.8245288546040426
liq:1-5cr,momentum_continuation,0.5707343412526998,5.535548720603725,0.2578835010673986,4228,7408.0,0.10310348080369776,0.2851416553524502,,
liq:5-25cr,momentum_continuation,0.9483282674772037,7.043798303489886,0.28433427503873143,3120,3290.0,0.13463308099088378,0.25107019803067654,,
liq:>25cr,momentum_continuation,0.9730911537167843,9.365575560158385,0.29002506265664163,2893,2973.0,0.10390083849799489,0.22629242708961708,,
ALL,pullback_in_vol,0.49048723897911833,4.420111858259107,0.14152585491256728,5285,10775.0,0.11096715529102023,0.20997301623569556,0.39286446586015994,0.7608325449385052
liq:1-5cr,pullback_in_vol,0.35978917997209736,3.489592952318577,0.14156755108264715,2321,6451.0,0.10310348080369776,0.22073890008225017,,
liq:5-25cr,pullback_in_vol,0.6811594202898551,5.059376308382763,0.14991342385856193,1645,2415.0,0.13463308099088378,0.20576097179427263,,
liq:>25cr,pullback_in_vol,0.6909376636982714,6.649971970260907,0.13223057644110275,1319,1909.0,0.10390083849799489,0.19610657733123454,,
ALL,either_archetype,0.6351141291008754,5.723442467595369,0.4157673459550652,15526,24446.0,0.11096715529102023,0.2419918074219436,0.4334088879730751,0.8028468375627978
liq:1-5cr,either_archetype,0.47254491666065374,4.583210120328994,0.3994510521500457,6549,13859.0,0.10310348080369776,0.2626164535644361,,
liq:5-25cr,either_archetype,0.8352322524101665,6.203766906788098,0.43424769889729337,4765,5705.0,0.13463308099088378,0.23540382230698792,,
liq:>25cr,either_archetype,0.8627611634575993,8.303697794260334,0.4222556390977444,4212,4882.0,0.10390083849799489,0.21697617751235954,,
year:2012,either_archetype,0.5309168443496801,5.17176932271514,0.3893666927286943,498,938.0,0.10265671402199214,0.13442604194997979,,
year:2013,either_archetype,0.4117647058823529,5.7156213478768985,0.38631346578366443,350,850.0,0.07204198473282443,0.2080800021383505,,
year:2014,either_archetype,0.6389891696750902,2.649637804232595,0.46477024070021883,1062,1662.0,0.24116094986807388,0.325792583315505,,
year:2015,either_archetype,0.5947136563876652,6.437446652497951,0.4388816644993498,675,1135.0,0.09238346948582413,0.16345153841045973,,
year:2016,either_archetype,0.5570469798657718,4.712227214483665,0.4094721262950173,830,1490.0,0.11821309850119555,0.22289779030126955,,
year:2017,either_archetype,0.68,5.570327220424308,0.3667745415318231,1020,1500.0,0.12207541372196129,0.24104479991358993,,
year:2018,either_archetype,0.46386946386946387,6.778401801793615,0.38791423001949316,597,1287.0,0.06843345635644092,0.0705574401303097,,
year:2019,either_archetype,0.4979508196721312,5.403569539925965,0.3135483870967742,486,976.0,0.09215219976218787,0.09192111644325593,,
year:2020,either_archetype,0.7232142857142857,2.6308863767281108,0.5443548387096774,1620,2240.0,0.2748937742471827,0.33680214278501497,,
year:2021,either_archetype,0.7362223268959021,4.224339697978308,0.43129139072847683,1563,2123.0,0.17428104260844474,0.3029957115472803,,
year:2022,either_archetype,0.5814376706096451,5.413813504448151,0.4265687583444593,1278,2198.0,0.10739891023802696,0.18009647943897653,,
year:2023,either_archetype,0.8210735586481114,6.598306360335596,0.37605281129068974,1652,2012.0,0.1244370166841345,0.32279348045471895,,
year:2024,either_archetype,0.657560600230858,5.583473803268765,0.430045294413689,1709,2599.0,0.11776908487434803,0.21326120664792625,,
year:2025,either_archetype,0.601040763226366,10.3927602726276,0.40860849056603776,1386,2306.0,0.057832639978176364,0.20759913236396005,,
year:2026,either_archetype,0.6851145038167938,6.74421965317919,0.37729900157645824,718,1048.0,0.10158543746330007,0.290761743048623,,
