signal,universe,full_cagr_pct,full_maxdd_pct,full_sharpe,full_calmar,oos2019_26_cagr_pct,oos2019_26_sharpe,benchmark_nifty500_sharpe,survives_both_halves
RISKADJ,5cr,28.6,-33.1,1.13,0.86,34.2,1.22,0.89,YES
LOWVOL_MOM,5cr,18.5,-26.0,1.1,0.71,20.1,1.11,0.89,YES
QUAL_MOM,5cr,20.1,-26.7,1.1,0.75,21.1,1.11,0.89,YES
LOWVOL_MOM+VAL,5cr,18.1,-28.9,1.1,0.63,19.3,1.14,0.89,YES
MOM12,5cr,30.0,-43.0,1.06,0.7,38.2,1.18,0.89,YES
RISKADJ+VAL,5cr,24.2,-35.9,1.03,0.67,23.8,0.96,0.89,YES
MOM12+VAL,5cr,27.5,-36.9,1.02,0.74,32.5,1.08,0.89,YES
QUAL_MOM+VAL,5cr,17.8,-25.9,0.97,0.69,19.2,1.04,0.89,YES
RISKADJ,25cr,21.9,-38.2,0.96,0.57,24.6,0.95,0.89,YES
MOM12+VAL,25cr,21.7,-34.2,0.93,0.63,25.1,0.96,0.89,YES
MOM12,25cr,21.6,-42.1,0.91,0.51,23.9,0.89,0.89,YES
QUAL_MOM,25cr,15.3,-29.0,0.91,0.53,15.7,0.86,0.89,NO
MOM6,5cr,23.3,-47.8,0.88,0.49,28.4,0.96,0.89,YES
LOWVOL_MOM,25cr,14.3,-32.0,0.87,0.45,14.6,0.81,0.89,NO
LOWVOL_MOM+VAL,25cr,13.4,-25.3,0.85,0.53,15.7,0.91,0.89,YES
DELIV_MOM,5cr,20.2,-45.0,0.85,0.45,19.5,0.78,0.89,NO
RISKADJ+VAL,25cr,17.9,-32.1,0.84,0.56,18.1,0.8,0.89,NO
MOM6,25cr,19.3,-41.1,0.81,0.47,21.1,0.8,0.89,NO
MOM6+VAL,5cr,19.2,-48.6,0.77,0.4,19.9,0.75,0.89,NO
DELIV_MOM,25cr,16.9,-47.9,0.76,0.35,18.6,0.78,0.89,NO
DELIV_MOM+VAL,5cr,17.4,-47.4,0.75,0.37,18.5,0.77,0.89,NO
QUAL_MOM+VAL,25cr,12.4,-31.6,0.75,0.39,14.7,0.83,0.89,NO
PULLBACK,5cr,16.9,-41.5,0.72,0.41,21.0,0.79,0.89,NO
MOM6+VAL,25cr,15.4,-40.5,0.7,0.38,15.6,0.66,0.89,NO
ACCEL+VAL,5cr,14.5,-64.3,0.64,0.23,20.0,0.8,0.89,NO
ACCEL,5cr,14.5,-69.5,0.63,0.21,18.1,0.71,0.89,NO
DELIV_MOM+VAL,25cr,13.0,-46.9,0.62,0.28,13.5,0.62,0.89,NO
PULLBACK+VAL,5cr,13.2,-43.6,0.61,0.3,17.5,0.7,0.89,NO
PULLBACK,25cr,12.3,-44.7,0.6,0.28,16.0,0.68,0.89,NO
PULLBACK+VAL,25cr,11.3,-43.2,0.56,0.26,17.4,0.74,0.89,NO
ACCEL,25cr,7.6,-62.1,0.42,0.12,6.5,0.37,0.89,NO
ACCEL+VAL,25cr,6.2,-62.9,0.37,0.1,5.5,0.34,0.89,NO
