feature,group,kind,cliffs_delta,pos_median,ctrl_median,hit_ratio,lift,coverage,n_events_match,support_real,base_rate,threshold,direction,category
ret_1d,raw,numeric,0.2552229115546813,-0.008928571428571508,-0.021487019485488812,0.6898298604473332,1.288404076982559,0.38652491765525,14434,20924.0,0.5354142173027844,-0.0025957818561036516,>=,
consec_up,raw,numeric,0.1531042283747292,0.0,0.0,0.6831624070758044,1.275951188814746,0.33714484642369386,12590,18429.0,0.5354142173027844,1.0,>=,
cpr_regime,cpr,categorical,,,,0.6687075735391987,1.2489537108444677,0.26907318640709105,10048,15026.0,0.5354142173027844,,==,1
dist_high_252,raw,numeric,0.1304220773400089,-0.16945812807881777,-0.21668681983071358,0.6444444444444445,1.203637153475142,0.12037061832204161,4495,6975.0,0.5354142173027844,-0.02802550865198189,>=,
h_pct_from_52w_high,house(DVPT),numeric,0.1304604258240518,-16.94528947171388,-21.66860746003783,0.6443424637889,1.2034466828969452,0.12031706076105295,4493,6973.0,0.5354142173027844,-2.801951803780034,>=,
dist_high_66,raw,numeric,0.17002118391367854,-0.10256683352859719,-0.14279793700497323,0.64415770609319,1.2031016085792687,0.12031706076105295,4493,6975.0,0.5354142173027844,-0.012305687365667228,>=,
dist_high_22,raw,numeric,0.20263948562679102,-0.06465848042977751,-0.0953509031684927,0.641505376344086,1.198147818292441,0.23964330664381545,8949,13950.0,0.5354142173027844,-0.021918976545842295,>=,
ret_5d,raw,numeric,0.2158352600762178,-0.01541155866900168,-0.04130943102104445,0.6371554536004874,1.1900234117992554,0.47601960206732186,17776,27899.0,0.5354142173027844,-0.012231030577576352,>=,
range_pos_252,raw,numeric,0.10410245338777147,0.6180251992800205,0.5371681150532103,0.6368458781362007,1.1894452137345006,0.1189513429558418,4442,6975.0,0.5354142173027844,0.943872652465616,>=,
dist_high_all,raw,numeric,0.0782460718428541,-0.31195529580641856,-0.35042817280862115,0.6346953405017921,1.1854286270154513,0.11854966124842675,4427,6975.0,0.5354142173027844,-0.05351894011620334,>=,
h_rs_vs_broad_trend_state,house(DVPT),categorical,,,,0.6258680555555556,1.1689417937171032,0.03861500147283293,1442,2304.0,0.5354142173027844,,==,BREAKOUT
close_strength_5,raw,numeric,0.1629056452809719,0.4047054540913261,0.364107835789255,0.622400688369425,1.162465747556809,0.1162199073454195,4340,6973.0,0.5354142173027844,0.5729719528105366,>=,
h_rs_vs_sector_slope_3m,house(DVPT),numeric,0.0748378868603089,-0.11345068903001082,-2.0650183849310046,0.6121266161390995,1.1432767310938499,0.036767265618723725,1373,2243.0,0.5354142173027844,10.684924535795894,>=,
h_rs_vs_sector_slope_6m,house(DVPT),numeric,0.05628409936946924,0.13895547142170395,-1.635939799105274,0.6109431680773881,1.14106638997203,0.05411991537905364,2021,3308.0,0.5354142173027844,9.501925725932233,>=,
close_vs_sma20,raw,numeric,0.1769451585542106,-0.008888933833567703,-0.03514244125597843,0.6074900352708399,1.1346169295450286,0.5673084647725143,21185,34873.0,0.5354142173027844,-0.019484962508681203,>=,
ret_10d,raw,numeric,0.16259976757889566,-0.013106393073182399,-0.042259786476868344,0.6046224873111002,1.1292611734461613,0.5646305867230806,21085,34873.0,0.5354142173027844,-0.025391119180163457,>=,
h_rs_vs_sector_trend_state,house(DVPT),categorical,,,,0.6030451332245785,1.1263151289902111,0.05939533513643789,2218,3678.0,0.5354142173027844,,==,UPTREND
cpr_pattern,cpr,categorical,,,,0.597011385199241,1.1150458204243436,0.13480438100848888,5034,8432.0,0.5354142173027844,,==,BULL_U
up_frac_22,raw,numeric,0.12678112763548008,0.5,0.45454545454545453,0.5949294151541342,1.1111572982711686,0.22119272688321773,8260,13884.0,0.5354142173027844,0.5909090909090909,>=,
h_rs_vs_sector_trend_state,house(DVPT),categorical,,,,0.5889769452449568,1.100039793885193,0.04378330610823983,1635,2776.0,0.5354142173027844,,==,CONSOLIDATING
close_vs_sma50,raw,numeric,0.1297366569205641,0.011875272110375423,-0.018778057139063775,0.587261192157425,1.096835259840178,0.43874353961920576,16384,27899.0,0.5354142173027844,0.029762027654267387,>=,
deliv_updown_22,raw,numeric,0.0908437331433525,1.2935951020764012,1.1603543591250138,0.5849462365591398,1.0925115875814413,0.10925742441689205,4080,6975.0,0.5354142173027844,2.7163845177898542,>=,
ret_22d,raw,numeric,0.12052888444361519,0.03168044077135024,-0.0016844833171363316,0.5821544637736571,1.0872973577473017,0.3261923252015103,12181,20924.0,0.5354142173027844,0.09562601399647741,>=,
n_strong_deliv_22,raw,numeric,0.038677072905890626,0.0,0.0,0.5809929078014184,1.085127904761742,0.10968588490480144,4096,7050.0,0.5354142173027844,7.0,>=,
range_tight_22,raw,numeric,-0.12548652487641643,0.1530730387696777,0.1706119261097151,0.5804490580104952,1.0841121495327102,0.5420560747663551,20242,34873.0,0.5354142173027844,0.16082425666827876,<=,
h_rs_vs_broad_above_50ma,house(DVPT),numeric,0.07764324467381235,0.0,0.0,0.5765625506795109,1.0768532699486695,0.47601960206732186,17776,30831.0,0.5354142173027844,1.0,>=,
cpr_separation_pct,cpr,numeric,-0.03187330529869969,0.6577866704972111,0.7307391137746763,0.5752142732202203,1.0743350748471598,0.17612403931124976,6577,11434.0,0.5354142173027844,0.977781858244562,<=,
h_accum_character,house(DVPT),categorical,,,,0.5746729202666009,1.0733239829931807,0.062341000990814875,2328,4051.0,0.5354142173027844,,==,ACCUMULATION
deliv_per_22,raw,numeric,0.03453725509057134,48.355454545454556,47.54318181818182,0.574336917562724,1.0726964264341308,0.10727579466031117,4006,6975.0,0.5354142173027844,63.44954545454546,>=,
h_deliv_updown_ratio_3m,house(DVPT),numeric,0.05024976414315468,1.2627380216259358,1.213285677729354,0.5740714183278359,1.0722005501082732,0.10719545831882817,4003,6973.0,0.5354142173027844,2.1408538300383455,>=,
h_rs_vs_broad_slope_1m,house(DVPT),numeric,0.11072392367194249,0.37985823493843224,-1.9037137267577382,0.5732722123273672,1.070707862811894,0.5257745762257987,19634,34249.0,0.5354142173027844,-0.5769626918036252,>=,
cpr_compression_pctile,cpr,numeric,0.06513507690791757,0.47619047619047616,0.4246031746031746,0.5732133933033483,1.0705980057664175,0.18429156736202235,6882,12006.0,0.5354142173027844,0.7738095238095238,>=,
updown_vol_22,raw,numeric,0.07940522618640375,1.4157681090154564,1.2799548778126908,0.5727598566308244,1.0697509295068282,0.10698122807487347,3995,6975.0,0.5354142173027844,3.167888826014357,>=,
h_turnover_surge_3m,house(DVPT),numeric,0.009394928124357996,0.7564427865485,0.7485106140935553,0.5726212753706635,1.06949209951001,0.10652598880646975,3978,6947.0,0.5354142173027844,2.467891758637051,>=,
h_turnover_surge_1y,house(DVPT),numeric,0.014354672372910285,0.7883427254303773,0.7822566972944065,0.5724325874928284,1.0691396847407764,0.10687411295289613,3991,6972.0,0.5354142173027844,3.010394301890104,>=,
h_avg_deliv_pct_1m,house(DVPT),numeric,0.03348396667849348,48.42160455486543,47.63107142857143,0.5722070844686649,1.0687185098506147,0.10684733417240179,3990,6973.0,0.5354142173027844,63.87318181818182,>=,
atr14_pct,raw,numeric,-0.10193599277424653,0.039725993534690036,0.042195286602497536,0.5699251569982507,1.0644565246498674,0.5322282623249337,19875,34873.0,0.5354142173027844,0.04088019905750946,<=,
cpr_width_pct,cpr,numeric,-0.08749532418234462,0.5362815065384997,0.6249440904545989,0.5695870216418162,1.0638249849082857,0.453177302305653,16923,29711.0,0.5354142173027844,0.5763688760807,<=,
h_avg_deliv_pct_6m,house(DVPT),numeric,0.03153008624486816,49.3736412101826,48.62557616072031,0.5693388785314786,1.063361524838832,0.10631175856251507,3970,6973.0,0.5354142173027844,63.62597736255839,>=,
h_turnover_surge_1m,house(DVPT),numeric,-0.004492561853038783,0.770609499294023,0.7806102041604358,0.5693240901213171,1.0633339043355217,0.10556195270867365,3942,6924.0,0.5354142173027844,2.4015617604648716,>=,
turnover_surge_raw,raw,numeric,-0.0037326849818930512,1.0419837215490415,1.0490881458966566,0.5693189964157707,1.063324390756349,0.1063385373430094,3971,6975.0,0.5354142173027844,3.569560934752313,>=,
close_vs_sma200,raw,numeric,0.07084105433970253,0.06303991433445044,0.02804203815311057,0.5686021505376344,1.0619855285166657,0.10620464344053772,3966,6975.0,0.5354142173027844,0.44986169664553155,>=,
new_high_22,raw,numeric,0.01494015212801815,0.0,0.0,0.5685983827493262,1.0619784913701231,0.1129796749056048,4219,7420.0,0.5354142173027844,3.0,>=,
log_price,raw,numeric,0.05557316524348271,2.459241664878082,2.400278889564094,0.5681720430107526,1.0611822111728557,0.10612430709905471,3963,6975.0,0.5354142173027844,3.2127135015205566,>=,
cpr_depth_pct,cpr,numeric,-0.020145847007436504,1.1689726761970847,1.1927222226534655,0.5677337131719019,1.0603635369115356,0.20279570468360872,7573,13339.0,0.5354142173027844,1.9117366329647494,<=,
h_accum_character,house(DVPT),categorical,,,,0.5669950309476071,1.0589838906480948,0.1741691883351632,6504,11471.0,0.5354142173027844,,==,CONSOLIDATION
vol_66,raw,numeric,-0.08818540344665822,0.025671910227511002,0.02710801507664947,0.5661973446505892,1.0574940417213399,0.52874702086067,19745,34873.0,0.5354142173027844,0.026340301963892254,<=,
h_accum_price_drift_3m,house(DVPT),numeric,0.08042468078609448,3.655711117474836,0.20821344105336204,0.5653271376530993,1.055868744952282,0.5277829847628739,19709,34863.0,0.5354142173027844,2.1794861851397673,>=,
range_tight_66,raw,numeric,-0.07972849547916327,0.29470075807511636,0.31643922139070185,0.5647348951911221,1.0547626061109177,0.5273813030554588,19694,34873.0,0.5354142173027844,0.3048521591307221,<=,
h_rs_vs_broad_slope_3m,house(DVPT),numeric,0.07720812796264606,0.3456847581247453,-2.161610303348118,0.5644688644688645,1.054265737119284,0.4126610074177222,15410,27300.0,0.5354142173027844,3.7941951382885564,>=,
gap_1d,raw,numeric,0.06643157685764253,0.0018145222774541558,0.0007246376811593791,0.5628673835125448,1.0512746305992007,0.10513349222076426,3926,6975.0,0.5354142173027844,0.013226011170025642,>=,
vol_22,raw,numeric,-0.08391678335824186,0.024063586525722765,0.02551730409837733,0.5627849625784991,1.051120691963688,0.525560345981844,19626,34873.0,0.5354142173027844,0.024738051998347027,<=,
ret_66d,raw,numeric,0.07488005442240246,0.04345016960103365,0.011354961832060972,0.5626415851805121,1.0508529041587447,0.5254264520793723,19621,34873.0,0.5354142173027844,0.02969290883956266,>=,
deliv_per_s,raw,numeric,-0.009047532333846019,48.45,48.87,0.5623745339833668,1.050354129213076,0.10502637709878693,3922,6974.0,0.5354142173027844,69.04,>=,
h_rs_vs_broad_trend_state,house(DVPT),categorical,,,,0.5618107951247824,1.049301226917309,0.36290603325924536,13552,24122.0,0.5354142173027844,,==,UPTREND
h_rs_vs_broad_above_200ma,house(DVPT),numeric,0.05167965670836919,1.0,0.0,0.5599294068379648,1.045787333886423,0.5012719920734809,18719,33431.0,0.5354142173027844,1.0,>=,
h_rs_rank,house(DVPT),numeric,0.059489182710172436,52.0,47.0,0.5593761512955913,1.0447540114147849,0.24395469030340358,9110,16286.0,0.5354142173027844,71.0,>=,
ret_132d,raw,numeric,0.05539315081503974,0.09788715676188975,0.06111992516115161,0.5589964157706093,1.0440447745049117,0.10441046514741718,3899,6975.0,0.5354142173027844,0.7484699418470904,>=,
vol_pctile_252,raw,numeric,-0.019810887761250142,0.626984126984127,0.6428571428571429,0.5573537762634867,1.0409767956316618,0.10513349222076426,3926,7044.0,0.5354142173027844,0.9484126984126984,>=,
h_ratio_today_vs_avg_30d,house(DVPT),numeric,0.011251609734145412,0.9105999706802195,0.901115643483797,0.5564938846825859,1.0393707650984558,0.1023484990493533,3822,6868.0,0.5354142173027844,1.5570861424557183,>=,
h_rs_vs_broad_slope_6m,house(DVPT),numeric,0.05851047462745127,1.6201798269921386,-1.0686234727773516,0.556309963099631,1.0390272523992947,0.20185844736630693,7538,13550.0,0.5354142173027844,28.061144574498158,>=,
h_ratio_today_vs_power_1m,house(DVPT),numeric,-0.007636293159377729,0.590078555053134,0.5954620134364654,0.5562327673777391,1.0388830729595318,0.10264306563479099,3833,6891.0,0.5354142173027844,1.0155370025272914,>=,
atr_contraction,raw,numeric,-0.053934970474900736,0.9890352383251877,1.0090977501602694,0.5560749003527083,1.0385882226923384,0.5192941113461693,19392,34873.0,0.5354142173027844,0.997895478056048,<=,
h_trigger_rank,house(DVPT),categorical,,,,0.55550621669627,1.0375260849342058,0.0335002543984147,1251,2252.0,0.5354142173027844,,==,SS
h_trigger_rank,house(DVPT),categorical,,,,0.5551222970577809,1.036809033301877,0.041935570254130625,1566,2821.0,0.5354142173027844,,==,C
vol_dryup_5_22,raw,numeric,0.02373381671036216,0.9122390858950831,0.8945626711574943,0.5538351254480287,1.0344049663791932,0.20689285809924216,7726,13950.0,0.5354142173027844,1.3869736845526077,>=,
h_next_p_above,house(DVPT),categorical,,,,0.5529923543369365,1.0328309119670078,0.11233698417374073,4195,7586.0,0.5354142173027844,,==,P12M
hist_len,raw,numeric,0.006807211785829633,2506.0,2496.0,0.5521788990825688,1.0313116111563838,0.10315186246418338,3852,6976.0,0.5354142173027844,4399.0,>=,
h_p_score,house(DVPT),numeric,0.00923577674443773,0.0,0.0,0.5521633856195389,1.0312826364625327,0.14045470369279384,5245,9499.0,0.5354142173027844,1.0,>=,
vol_z_1d,raw,numeric,-0.027417402715989157,-0.26992859944424424,-0.23941104480896788,0.5515412186379929,1.030120607212207,0.1030179685617117,3847,6975.0,0.5354142173027844,1.9163321486176326,>=,
h_ratio_today_vs_power_3m,house(DVPT),numeric,-0.003815368099414763,0.5417726486469907,0.5428523477643887,0.5508274231678487,1.0287874422586503,0.09983129368288568,3728,6768.0,0.5354142173027844,0.9700879886992535,>=,
h_rs_vs_broad_slope_12m,house(DVPT),numeric,0.04276293895419669,5.252187423061105,2.062298294233621,0.5489431869284965,1.0252682300702922,0.39225557668103794,14648,26684.0,0.5354142173027844,14.952231576301491,>=,
h_r_score,house(DVPT),numeric,0.01762719645353127,1.0,1.0,0.5486313017719019,1.0246857181635936,0.2678145837238572,10001,18229.0,0.5354142173027844,5.0,>=,
deliv_per_pctile,raw,numeric,-0.03295569292237333,0.4880952380952381,0.5158730158730159,0.5474678111587983,1.0225126518244796,0.5123851859786306,19134,34950.0,0.5354142173027844,0.5,<=,
nr_ratio_10_60,raw,numeric,-0.032931318327082584,1.0078358740561337,1.023616933341206,0.5473862300346973,1.0223602817127708,0.5111801408563854,19089,34873.0,0.5354142173027844,1.014930756378848,<=,
